1,3-27-2019,11-04-19,1,5
2,3-27-2019,11-04-19,2,4
3,3-29-2019,13-04-19,3,4
4,3-27-2019,11-04-19,4,5
5,4-5-2019,20-04-19,5,4
6,4-3-2019,18-04-19,6,4
7,4-9-2019,24-04-19,7,4
8,2-27-2019,14-03-19,8,4
9,1-29-2019,13-02-19,9,4
10,4-30-2019,15-05-19,10,4
11,2-21-2019,8-03-19,11,5
12,4-30-2019,15-05-19,12,4
13,null,null,null,null
14,4-19-2019,4-05-19,13,4
15,null,null,null,null
16,null,null,null,null
17,3-27-2019,11-04-19,14,4
18,null,null,null,null
19,null,null,null,null
20,3-27-2019,11-04-19,15,4
21,null,null,null,null
22,5-3-2019,18-05-19,16,4
23,3-5-2019,20-03-19,17,5
24,null,null,null,null
25,null,null,null,null
26,3-27-2019,11-04-19,18,4
27,2-15-2019,2-03-19,19,4
28,4-23-2019,8-05-19,20,4
29,3-26-2019,10-04-19,21,4
30,null,null,null,null
31,null,null,null,null
32,3-24-19,8-04-19,22,5
33,3-2-19,17-03-19,23,4
34,3-27-2019,11-04-19,24,4
35,2-28-2019,15-03-19,25,5
36,4-15-2019,30-04-19,26,4
37,3-27-2019,11-04-19,1,5
38,3-27-2019,11-04-19,27,4
39,3-27-2019,11-04-19,28,4
40,null,null,null,null
41,3-27-2019,11-04-19,29,4
42,4-10-2019,25-04-19,30,4
43,4-15-2019,30-04-19,31,4
44,3-27-2019,11-04-19,32,5
45,null,null,null,null
46,3-27-2019,11-04-19,33,5
47,4-23-2019,8-05-19,34,4
48,null,null,null,null
