1,null,null,3
2,null,null,3
3,null,null,4
4,null,null,5
5,null,null,6
6,null,null,6
7,null,null,6
8,null,null,6
9,null,null,6
10,null,null,4
11,null,null,5
12,null,null,4
13,null,null,null
14,null,null,6
15,null,null,null
16,null,null,null
17,null,null,6
18,null,null,null
19,null,null,null
20,null,null,6
21,null,null,null
22,null,null,6
23,null,null,7
24,null,null,null
25,null,null,null
26,null,null,6
27,null,null,6
28,null,null,4
29,null,null,6
30,null,null,null
31,null,null,null
32,null,null,8
33,null,null,4
34,null,null,9
35,null,null,6
36,null,null,6
37,null,null,3
38,null,null,3
39,null,null,3
40,null,null,null
41,null,null,7
42,null,null,6
43,null,null,3
44,null,null,7
45,null,null,null
46,null,null,10
47,null,null,6
48,null,null,null
